epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.415,0.79716,2.13919,1.23157,0.86532,0.96416,0.97196,0.82792,0.64567,2.17529,1.28694,0.000366351,0.000366351,0.000366351
2,963.476,0.84923,1.4202,1.2559,0.99696,0.85,0.94716,0.7119,0.77744,2.05668,1.44548,0.000722098,0.000722098,0.000722098
3,1424.54,0.93443,1.33341,1.29665,0.94965,0.95,0.97833,0.58493,1.01979,1.84471,1.62864,0.00106318,0.00106318,0.00106318
4,1883.08,0.94814,1.21729,1.31359,1,0.88579,0.98667,0.80765,0.65981,1.37261,1.28557,0.00104501,0.00104501,0.00104501
5,2345.6,0.89851,1.08803,1.27213,1,0.74367,0.93657,0.69721,0.84779,1.80206,1.47373,0.00102301,0.00102301,0.00102301
6,2798,0.89252,1.03777,1.266,1,0.983,0.995,0.78101,0.80437,0.78931,1.45327,0.00100101,0.00100101,0.00100101
7,3222.08,0.85377,0.90072,1.24037,0.90314,1,0.98795,0.78496,0.6833,0.71385,1.34236,0.000979013,0.000979013,0.000979013
8,3645.1,0.8388,0.84195,1.21538,0.94904,1,0.99262,0.76677,0.77638,0.70195,1.39012,0.000957015,0.000957015,0.000957015
9,4064.9,0.81741,0.80305,1.21026,1,0.93665,0.98071,0.78934,0.70102,0.8064,1.27646,0.000935018,0.000935018,0.000935018
10,4486.23,0.79949,0.766,1.19321,1,0.94687,0.99262,0.82361,0.65368,0.62263,1.22592,0.00091302,0.00091302,0.00091302
11,4908.58,0.77848,0.74288,1.18867,0.95027,1,0.99262,0.83669,0.63096,0.53215,1.22521,0.000891022,0.000891022,0.000891022
12,5329.78,0.78493,0.75374,1.18843,0.99669,1,0.995,0.84445,0.63331,0.48943,1.24882,0.000869024,0.000869024,0.000869024
13,5757.97,0.76497,0.70422,1.18748,0.90008,0.95,0.97927,0.84375,0.55456,0.6582,1.15323,0.000847026,0.000847026,0.000847026
14,6185.41,0.75667,0.67272,1.17498,0.99738,1,0.995,0.83953,0.63256,0.42435,1.23325,0.000825029,0.000825029,0.000825029
15,6608.27,0.73202,0.6479,1.16213,0.99902,1,0.995,0.84136,0.62663,0.52112,1.20265,0.000803031,0.000803031,0.000803031
16,7029.34,0.7387,0.66562,1.16288,0.99718,1,0.995,0.83293,0.62716,0.41507,1.23682,0.000781033,0.000781033,0.000781033
17,7448.71,0.70125,0.60586,1.13966,0.99773,1,0.995,0.86373,0.54861,0.39055,1.14826,0.000759035,0.000759035,0.000759035
18,7873.17,0.70766,0.61278,1.14022,0.996,0.9,0.94913,0.7984,0.63818,1.02003,1.2242,0.000737037,0.000737037,0.000737037
19,8317.32,0.71742,0.61551,1.14412,0.99739,1,0.995,0.88634,0.55395,0.33531,1.1694,0.00071504,0.00071504,0.00071504
20,8736.59,0.6686,0.55693,1.11997,0.99561,1,0.995,0.8756,0.54595,0.38144,1.14281,0.000693042,0.000693042,0.000693042
21,9156.27,0.70444,0.5904,1.14283,0.99654,1,0.995,0.8731,0.55093,0.41051,1.15375,0.000671044,0.000671044,0.000671044
